,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
12265,2010,Media,16,15,1,12,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0
12266,2010,Media,24,14,10,17,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,19,5.0
12267,2010,Media,22,4,18,11,4.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,19,3.0
12268,2009,Media,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12269,2013,Media,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12270,2012,Media,2,0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
12271,2011,Media,12,2,10,8,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9,3.0
12272,2010,Media,59,17,42,37,3.0,4.0,6.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,49,10.0
12273,2009,Media,110,31,79,67,12.0,6.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,93,17.0
12274,2008,Media,102,31,71,73,7.0,7.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,89,13.0
12275,2007,Media,95,31,64,75,1.0,9.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,89,6.0
12276,2006,Media,128,44,84,87,10.0,13.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,116,12.0
12277,2005,Media,122,34,88,89,7.0,10.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,114,8.0
12278,2004,Media,101,26,75,84,4.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,93,8.0
12279,1984,Media,2,2,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0
12280,1985,Media,8,2,6,0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,7.0
12281,1986,Media,22,3,19,18,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0
12282,1987,Media,27,7,20,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0
12283,1988,Media,29,13,16,26,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1.0
12284,1989,Media,29,13,16,23,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2.0
12285,1990,Media,34,13,21,26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,3.0
12286,1991,Media,37,19,18,33,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,1.0
12287,1992,Media,30,11,19,25,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1.0
12288,1993,Media,35,14,21,27,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33,2.0
12289,1994,Media,34,14,20,23,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33,1.0
12290,1995,Media,29,11,18,24,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0.0
12291,1996,Media,26,14,12,22,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.0
12292,1997,Media,32,16,16,24,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.0
12293,1998,Media,51,23,28,35,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,5.0
12294,1999,Media,52,22,30,34,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,6.0
12295,2000,Media,45,20,25,33,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,7.0
12296,2001,Media,51,24,27,42,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,2.0
12297,2002,Media,79,30,49,62,6.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76,3.0
12298,2003,Media,94,30,64,73,9.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,84,10.0
12299,2018,Medicine,32,15,15,8,16.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,16.0,4,28.0
12300,1980,Engineering,99,79,20,96,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,93,6.0
12301,1980,Engineering,10,9,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0
12302,1980,Engineering,81,71,10,38,6.0,1.0,1.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,28,53.0
12303,1981,Engineering,93,76,17,89,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,87,6.0
12304,1981,Engineering,13,10,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0
12305,1981,Engineering,90,76,14,47,9.0,2.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,38,52.0
12306,1982,Engineering,72,56,16,68,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,1.0
12307,1982,Engineering,12,9,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0
12308,1982,Engineering,91,77,14,48,8.0,2.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,40,51.0
12309,1983,Engineering,77,62,15,71,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,4.0
12310,1983,Engineering,4,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0
12311,1983,Engineering,104,89,15,58,12.0,1.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,45,59.0
12312,1984,Engineering,54,43,11,50,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,3.0
12313,1984,Engineering,4,2,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0
12314,1984,Engineering,107,91,16,61,12.0,1.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,42,65.0
